supplier_id;supplier_name;contact_email
701;Global Elektronik A.Ş.;info@globalelektronik.com
702;Tekstil Üretim Merkezi;satis@tekstilmerkezi.com
703;Evim Dekorasyon Ltd.;contact@evimdekor.com
704;Spor Malzemeleri İthalat;destek@sporithalat.com
705;Gurme Gıda Tedarik;siparis@gurmetedarik.com
706;Kimya ve Kozmetik San.;info@kozmetiks.com
707;Mobilya Tasarım Atölyesi;tasarim@mobilyaatolye.com
708;Aksesuar Dünyası;genel@aksesuardunyasi.com
709;Outdoor & Kamp Ekipmanları;kargo@outdoorekipman.com
710;Hızlı Teknoloji Çözümleri;iletisim@hizliteknoloji.com
